CustomerID,Recency,Frequency,Monetary,AvgOrderValue,AvgRating,ReturnRate,AvgSession,DiscountUsage,UniqueCategories,AvgQuantity,Segment,SegmentLabel,PCA1,PCA2
1000,1.0,5,594753,118950.6,3.815167087663472,0.2,259.4,0.4,2,2.0,1,🔥 Loyal Customers,-0.6496893690886785,-0.6498743229670157
1001,1.0,5,809958,161991.6,2.368077989688495,0.8,237.0,0.2,2,2.4,0,🔥 Loyal Customers,0.27255836107856074,0.473992673291601
1002,1.0,6,662897,110482.83333333333,3.90076036306939,0.6666666666666666,139.33333333333334,0.5,2,2.3333333333333335,1,🔥 Loyal Customers,-0.29868291891244486,-0.31186640526632897
1003,,4,523258,130814.5,3.49351175182443,0.25,264.75,0.25,1,3.25,0,🔥 Loyal Customers,-0.8106934090543233,1.3876524197455644
1004,1.0,5,541832,108366.4,3.2233341427069613,0.0,311.0,0.0,3,2.8,1,🔥 Loyal Customers,0.15211868283501664,-0.6898281295195346
1005,,3,311688,103896.0,1.9942011691088044,0.0,146.66666666666666,0.3333333333333333,2,2.0,2,🔥 Loyal Customers,-1.6113713991048333,-0.1858396736275403
1006,1.0,9,1082609,120289.88888888889,3.137834573321171,0.1111111111111111,275.44444444444446,0.3333333333333333,3,2.7777777777777777,3,💎 Champions,1.9414486568193274,-0.9933920805062808
1007,1.0,5,363289,72657.8,2.5365400501774884,0.2,248.6,0.4,2,2.4,1,🔥 Loyal Customers,-1.0920215143063488,-0.6052907308716492
1008,1.0,5,383112,76622.4,2.93589678470097,0.2,222.6,0.2,3,1.8,1,🔥 Loyal Customers,-0.8317690423444121,-1.784318178178017
1009,1.0,4,225433,56358.25,3.2675611380150493,0.75,201.25,0.25,3,2.0,1,🔥 Loyal Customers,-1.367466302128334,-1.554895783155156
1010,1.0,6,971072,161845.33333333334,3.3381661689731765,0.5,265.1666666666667,0.3333333333333333,3,2.8333333333333335,3,💎 Champions,1.4313285412866354,0.08246349744747147
1011,,2,61056,30528.0,3.752851721158266,0.5,127.0,0.5,0,3.0,2,🔥 Loyal Customers,-3.4326381604533585,1.1192572661395086
1012,1.0,2,266040,133020.0,2.4349299085017257,0.0,246.5,0.0,2,3.0,0,🔥 Loyal Customers,-1.1869054046998537,0.9758705229057129
1013,1.0,2,183879,91939.5,3.479057730881768,0.5,176.5,0.5,1,3.0,2,🔥 Loyal Customers,-2.224228797378778,1.2843461163850705
1014,1.0,11,1278099,116190.81818181818,2.841481141629892,0.36363636363636365,224.72727272727272,0.45454545454545453,3,2.8181818181818183,3,💎 Champions,2.6667479205470426,-1.1242301277645892
1015,,3,739420,246473.33333333334,2.901987374415487,0.6666666666666666,305.6666666666667,0.0,1,3.3333333333333335,0,🔥 Loyal Customers,0.24986693018502945,2.943691551702867
1016,1.0,8,727967,90995.875,2.7203803211989834,0.25,229.25,0.375,3,1.75,1,🔥 Loyal Customers,0.46438833155104253,-2.047799911506923
1017,1.0,14,1505403,107528.78571428571,2.3514114526663934,0.2857142857142857,204.85714285714286,0.5,3,2.0,3,💎 Champions,3.2422773870735657,-2.435866461382143
1018,1.0,7,905720,129388.57142857143,2.5112833939541632,0.5714285714285714,270.14285714285717,0.5714285714285714,2,2.0,1,🔥 Loyal Customers,0.4483265854781363,-0.5544839088557256
1019,1.0,9,1067009,118556.55555555556,3.030027779629732,0.4444444444444444,292.6666666666667,0.4444444444444444,2,2.7777777777777777,3,💎 Champions,1.4048490585418771,-0.4010780357506739
1020,1.0,6,537557,89592.83333333333,2.8860992488689443,0.3333333333333333,179.0,0.6666666666666666,3,1.8333333333333333,1,🔥 Loyal Customers,-0.27656902870047284,-1.4651058324135398
